"","FIXED.ASSETS","CURRENT.ASSETS","TREASURY","UNCOMMITTED.FUNDS","PAID.UP.CAPITAL","SHORT.TERM.DEBT","SALES","LABOR.COSTS","DEPRECIATION","OPERATING.PROFIT","FINANCIAL.OUTCOME","GROSS.PROFIT","NET.PROFIT"
"1",0,0,6670,112349,37500,183077,507061,60067,9006,27560,-18931,9218,6338
"2",0,6643,1892,-12126,500,13872,44727,5090,0,-770,-60,-830,-830
"3",0,43279,6863,29125,34000,14154,92922,8583,0,-6434,706,-5727,-5727
"4",0,98448,1,2712,500,94684,665156,2663,0,3658,-6625,-944,-685
"5",0,134917,11368,19893,10000,40669,86020,27054,0,27468,-25480,2580,1496
"6",0,162855,507,117733,30000,35180,297633,35086,19110,15194,725,16450,10692
"7",0,170531,2274,-6118,500,176649,378474,5105,0,5688,-13442,-7753,-7753
"8",62,1389,97,1049,500,402,7849,2376,0,243,-9,234,152
"9",78,26613,3490,13242,10000,20948,3430,3112,8,103,281,664,432
"10",91,183865,22670,34555,10000,149402,637815,4085,0,8504,0,3117,1955
"11",140,10225,5281,2050,500,8314,371017,5597,0,546,500,1047,857
"12",142,75370,28605,55605,4000,19907,233917,179835,381,9704,999,10703,6957
"13",200,54989,25592,16084,6000,39105,139150,122103,210,1597,1218,1203,782
"14",224,31228,6951,20331,4000,11120,74373,4784,577,5115,89,5205,3307
"15",237,714,1,212,90,739,1857,201,7,64,-43,-5,-14
"16",249,65547,20558,50769,48000,15027,339469,3548,110,-1565,2165,600,390
"17",310,195474,38990,31160,10000,164623,441054,23564,0,6946,-5028,1947,1272
"18",323,63115,4916,54986,15000,8452,125582,18524,183,3884,-2741,1142,742
"19",391,24611,1355,4324,1000,20678,380017,591,53,4750,-3563,1178,771
"20",408,29619,775,5395,500,21333,233756,14679,372,2873,-2817,263,107
"21",435,7807,7878,831,10000,7411,224768,23275,214,3947,-3353,594,386
"22",436,31314,2317,23651,16000,7579,69645,4357,141,878,-387,491,319
"23",465,354505,17608,42964,10000,229572,116295,0,362,-593,-11552,-12615,-8200
"24",474,40515,736,3074,500,37915,46159,377,692,11871,-1324,10682,7141
"25",684,16787,0,6303,6000,11167,116534,4253,805,3603,-1013,2589,1683
"26",893,10819,10106,6474,10000,4853,77844,10487,37,39,15,2822,1834
"27",905,52413,1038,24818,6000,28500,143403,11578,308,-4965,-212,-5074,-5074
"28",989,45102,1369,17772,30000,28320,84497,11363,453,12563,30,12866,12866
"29",1000,615990,124,-515464,10000,687142,2045712,1338127,0,-45996,-18660,26007,26007
"30",1013,1263,-12228,-10106,500,4638,34752,3290,92,-2101,-983,-3045,-3005
"31",1048,33783,12934,22042,10000,15789,378108,29709,559,5999,-4882,1116,726
"32",1062,18946,19649,5268,2000,14740,31969,14408,301,112,1336,1448,963
"33",1120,83212,2727,53973,15000,10859,8317,3615,307,1539,75,1614,1049
"34",1128,49746,584,9495,500,34103,100068,62352,271,1065,-3179,-2114,-2114
"35",1306,45305,12553,36218,725,10393,96500,21473,3118,10932,838,11771,7651
"36",1307,12761,469,1381,10000,12687,210422,5293,0,-8155,-145,-8281,-6481
"37",1327,75294,30101,49158,10000,27463,133921,13424,248,4436,2819,7855,5134
"38",1381,38433,20625,39598,36500,216,600266,4758,388,-456,1072,615,448
"39",1426,43934,3647,11229,10000,11931,100932,8865,286,2566,-3573,-1006,-654
"40",1428,42005,963,26821,19260,16612,96499,12566,311,1620,-58,1561,1561
"41",1465,369131,1721,79189,140000,18128,94412,351,400,14395,-32081,-17643,-17643
"42",1489,68099,30,-26447,2000,71036,3773,17177,0,-14777,-28,-14806,-14806
"43",1490,188830,25095,16466,2000,173854,726488,37010,497,8120,-2574,5546,3642
"44",1496,39567,81,4023,15000,22686,166380,20050,631,2762,-2555,207,134
"45",1747,22079,9403,9526,10000,14300,130326,10037,183,-1300,-242,-1542,-1520
"46",1784,322333,11200,38217,10392,80751,130349,12034,128,11187,-24580,-13393,-8750
"47",1816,102019,6404,33755,12000,70079,141827,23987,684,2004,-15,5584,3647
"48",1835,88524,374,4639,500,85720,135138,10738,0,4926,-4514,411,411
"49",1968,81069,1606,19452,11000,63585,136766,17006,569,7843,-6960,882,882
"50",2045,21484,7253,18694,2000,4359,127285,15007,251,3287,83,3253,1991
"51",2090,33917,2324,10031,1000,25975,112162,16746,780,1057,-866,147,95
"52",2126,35771,1509,11687,7000,26199,118270,12044,465,606,-799,-193,-125
"53",2136,7906,4040,9686,7000,356,49335,4414,608,452,0,452,312
"54",2402,49630,310,33617,32000,18495,70200,3959,787,-360,1301,992,992
"55",2429,207875,83,31867,23000,162415,292284,28000,817,14289,-12682,1953,1269
"56",2538,17093,2662,6273,1000,12092,157843,6297,622,-2100,-888,-2988,-1028
"57",2567,117238,671,14095,7850,105710,310463,9161,905,1607,-4338,-2700,-1755
"58",2739,23350,0,14778,10000,11310,99855,7822,618,2509,488,2985,1940
"59",2809,89592,13926,14141,10000,46803,90834,9553,157,5701,-4298,1402,911
"60",2830,30250,5922,6424,3000,26657,133264,22891,1789,4305,1941,2364,2364
"61",2860,68515,1442,13120,2000,58254,207609,5835,579,2917,-2956,-2956,-1921
"62",2871,48713,9856,39106,1500,10393,96519,19928,1561,3239,844,4052,2633
"63",2885,158347,16306,48499,10000,90529,289985,59491,1526,-10360,-950,2011,1307
"64",3062,70586,465,6832,10000,66816,141618,45310,184,-607,-7615,141,141
"65",3243,98781,34576,31758,20000,70266,204889,10628,859,11448,1984,13600,10127
"66",3274,67444,2216,15834,2000,44884,113000,19826,1135,8773,-6830,1852,1180
"67",3452,53685,1252,20658,3000,35581,86259,31731,1887,13633,-3478,2823,2823
"68",3487,134897,695,62728,10000,75656,352846,35952,1311,27396,-5091,22389,14552
"69",3506,42499,23167,29732,6500,16273,52310,10444,107,1801,1711,3512,2342
"70",3514,101242,7152,28771,15000,18302,127663,26272,626,-2003,-5661,1723,1163
"71",3543,28253,2389,9413,1500,3304,159372,7847,985,4052,-3754,298,193
"72",3544,35812,81,8967,500,30389,135055,5176,697,1411,-802,1218,759
"73",3647,0,0,-1142,500,4789,46891,16756,6,-3644,-2039,-5684,-5684
"74",3787,24615,985,10859,5000,17070,81321,14588,740,-15,-137,250,182
"75",3819,107416,1400,27300,15000,70662,168561,8741,572,8567,-6658,1909,1240
"76",3822,39864,3993,3595,1000,38396,143473,16937,1404,1366,-1103,262,184
"77",3879,74501,91,26123,3000,52257,215208,8169,599,4920,-2622,2862,1903
"78",3974,117178,13040,13318,1000,107834,245535,11593,544,473,733,1207,933
"79",3989,66278,0,38448,6000,31820,206097,11143,1492,7220,-3970,3221,2197
"80",4026,25706,2524,-8034,500,21815,45684,21898,769,9764,-5833,3896,3968
"81",4156,25287,10455,14652,10000,13170,85493,10972,1085,204,130,253,91
